unit_index,kind,name,source_path,source_sha256,oracle_compile,oracle_run,oracle_exit,candidate_prepare,candidate_run,candidate_exit,raw_stdout,canonical_stdout,generated_files,exit_status,verdict_counts,final_classification,reason_code,nondeterministic,first_failure_line
443,"COBOL","SQ205A","SQ205A.cob",ccd4ccf2cd6993abedfcea2bbf34489c256b1ad05ec798222ad0c8bc1b7abc73,"pass","fail",1,"reject-unsupported","not-run",2,"","","","","",ORACLE_RUN_FAIL,"ORACLE_RUN_NONZERO_EXIT",no,"libcob: error: file does not exist (status = 35) for file RAW-DATA ('000500')"
444,"COBOL","SQ206A","SQ206A.cob",314ff4552977f410fc5317656fc5651734c13d62d8da090fb2ebc5c830811d4b,"pass","fail",1,"reject-unsupported","not-run",2,"","","","","",ORACLE_RUN_FAIL,"ORACLE_RUN_NONZERO_EXIT",no,"libcob: error: file does not exist (status = 35) for file RAW-DATA ('000750')"
445,"COBOL","SQ207M","SQ207M.cob",c0349ea577f66acb283662350a3b5fa31ff58dfa1ed6c81dbb7cd8e7e8874bef,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_UNSUPPORTED_LEVEL_NUMBER",no,"cobrun: unsupported: unsupported level number IT"
446,"COBOL","SQ208M","SQ208M.cob",1b8457013a4bfa25a945ca8441092d0a08522edbdf606f00b5a2c1147ffe8911,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_UNSUPPORTED_LEVEL_NUMBER_THIS",no,"cobrun: unsupported: unsupported level number THIS"
447,"COBOL","SQ209M","SQ209M.cob",36ae81480ea8e66514d44bcdb9082ad736d5b08c9537e3c3f4622bd17f1b401c,"pass","pass",0,"reject-runtime-boundary","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_RUNTIME_BOUNDARY,"COBRUN_RUNTIME_ERROR_PERFORM_UNTIL_EXCEEDED_1E6_ITERATIONS",no,"cobrun: runtime error: PERFORM UNTIL exceeded 1e6 iterations"
448,"COBOL","SQ210M","SQ210M.cob",efe0b58672f16ee1c917b20d8cf67bcba9d614af95e036ec9204043f60693779,"pass","pass",0,"reject-runtime-boundary","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_RUNTIME_BOUNDARY,"COBRUN_RUNTIME_ERROR_PERFORM_UNTIL_EXCEEDED_1E6_ITERATIONS",no,"cobrun: runtime error: PERFORM UNTIL exceeded 1e6 iterations"
449,"COBOL","SQ211A","SQ211A.cob",a6dab6286262847b26a574ab67e56c55836ea329da770bb4234f224231a3beb8,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_NOT_NUMERIC_LITERAL_FILE_RECORD_INFO",no,"cobrun: unsupported: not a numeric literal: FILE-RECORD-INFO-P1-120(1)"
450,"COBOL","SQ212A","SQ212A.cob",8ad3b44e6dba690af38456433b78d494ad77fe685742e15686258cb620cd00bc,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_VERB_END",no,"cobrun: unsupported: verb END"
451,"COBOL","SQ213A","SQ213A.cob",397cc5213e78ba8cbf9af1445780db8fa9498f477d8855b5151875fa5d599f34,"pass","fail",1,"reject-unsupported","not-run",2,"","","","","",ORACLE_RUN_FAIL,"ORACLE_RUN_NONZERO_EXIT",no,"libcob: error: file does not exist (status = 35) for file RAW-DATA ('001000')"
452,"COBOL","SQ214A","SQ214A.cob",659f1a499dfe8070e2b23c5408c28b3f956222c6339db82422b396fd1ada9aac,"pass","fail",1,"reject-unsupported","not-run",2,"","","","","",ORACLE_RUN_FAIL,"ORACLE_RUN_NONZERO_EXIT",no,"libcob: error: file does not exist (status = 35) for file RAW-DATA ('123456789')"
453,"COBOL","SQ215A","SQ215A.cob",da264e2614297f7a3ecdb4f01048c9b56c524e45502ea54cf27e04bba109be36,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_NOT_NUMERIC_LITERAL_FILE_RECORD_INFO",no,"cobrun: unsupported: not a numeric literal: FILE-RECORD-INFO-P1-120(1)"
454,"COBOL","SQ216A","SQ216A.cob",0c24949e7b88b228d75b43d9454154fefd648845d301f1f4a42a8dc3757d7fca,"pass","fail",1,"reject-unsupported","not-run",2,"","","","","",ORACLE_RUN_FAIL,"ORACLE_RUN_NONZERO_EXIT",no,"libcob: error: file does not exist (status = 35) for file RAW-DATA ('000750')"
455,"COBOL","SQ217A","SQ217A.cob",c40f3bd4c938e120d713bc1a29992be2db9dea0a1f11786d82e5232e6e826466,"pass","fail",1,"reject-unsupported","not-run",2,"","","","","",ORACLE_RUN_FAIL,"ORACLE_RUN_NONZERO_EXIT",no,"libcob: error: file does not exist (status = 35) for file RAW-DATA ('000750')"
456,"COBOL","SQ218A","SQ218A.cob",70632dde1db6b57969efd3a30caa3a5037a2887be4b7fcd530b6d0d37944c607,"pass","fail",1,"reject-unsupported","not-run",2,"","","","","",ORACLE_RUN_FAIL,"ORACLE_RUN_NONZERO_EXIT",no,"libcob: error: file does not exist (status = 35) for file RAW-DATA ('000450')"
457,"COBOL","SQ219A","SQ219A.cob",f7a8d29470bc9f48e79e7fd1a874b8e1c5e3864ad8181dc046e7d65b4a8e6448,"pass","fail",1,"reject-unsupported","not-run",2,"","","","","",ORACLE_RUN_FAIL,"ORACLE_RUN_NONZERO_EXIT",no,"libcob: error: file does not exist (status = 35) for file RAW-DATA ('000450')"
