unit_index,kind,name,source_path,source_sha256,oracle_compile,oracle_run,oracle_exit,candidate_prepare,candidate_run,candidate_exit,raw_stdout,canonical_stdout,generated_files,exit_status,verdict_counts,final_classification,reason_code,nondeterministic,first_failure_line
500,"COBOL","ST132A","ST132A.cob",84e50c128a3d868a3e0ced4400381ba5ca95e4cc12e88c5e0d951ce889bd3be4,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_SORT_MERGE_KEY_KEY1_NOT_FIELD",no,"cobrun: unsupported: SORT/MERGE KEY `S4-KEY1` is not a field of the sort record"
501,"COBOL","ST133A","ST133A.cob",50fd8040dc22ba121dce58b1de198d008b5afa9ae49be907fe4ad12ae19e0715,"pass","pass",0,"accepted","pass",0,"mismatch","mismatch","mismatch","match","mismatch",GENERATED_FILE_MISMATCH,"GENERATED_FILES_DIFFER",no,""
502,"COBOL","ST134A","ST134A.cob",1702c08ff186b5ccdcb85613ad2f554a0279d678adb22a0a5b36f50bff6c73c5,"pass","pass",0,"accepted","pass",0,"mismatch","mismatch","mismatch","match","mismatch",GENERATED_FILE_MISMATCH,"GENERATED_FILES_DIFFER",no,""
503,"COBOL","ST135A","ST135A.cob",5ffcddf0ee1ed01d629b60e5f8a83b1ed6fd46186a20f14ccd3b55807e345b1a,"pass","pass",0,"accepted","pass",0,"mismatch","mismatch","mismatch","match","mismatch",GENERATED_FILE_MISMATCH,"GENERATED_FILES_DIFFER",no,""
504,"COBOL","ST136A","ST136A.cob",409a02acf20b2dade81e46cad7e5354105fec4838a6bc9cbeb9eb5e71fed317a,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_NOT_NUMERIC_LITERAL_ALL",no,"cobrun: unsupported: not a numeric literal: ALL"
505,"COBOL","ST137A","ST137A.cob",a2acf0d2a8a4cc37a436ca5b20cf1598ae568b76712afa80da4da71056f53fbd,"pass","pass",0,"reject-parse","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_PARSE,"COBRUN_UNDEFINED_DATA_NAME_XRECORD_LENGTH",no,"cobrun: undefined data name: XRECORD-LENGTH(1)"
506,"COBOL","ST139A","ST139A.cob",99ac5e5194cf636e6e78ed594388a51fd7e34fd737f038b1ce525c0110156e48,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_NOT_NUMERIC_LITERAL_FILE_RECORD_INFO",no,"cobrun: unsupported: not a numeric literal: FILE-RECORD-INFO-P1-120(1)"
507,"COBOL","ST140A","ST140A.cob",7069320dca7cf21c2564a490baf061044e208abee15b57b1309b966430b0f0cb,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_NOT_NUMERIC_LITERAL_FILE_RECORD_INFO",no,"cobrun: unsupported: not a numeric literal: FILE-RECORD-INFO-P1-120(1)"
508,"COBOL","ST144A","ST144A.cob",f4d6716d0c9b1d14d03c23bcd32909070b8ca4396a02332f14be8b3e9914d130,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_NOT_NUMERIC_LITERAL_FILE_RECORD_INFO",no,"cobrun: unsupported: not a numeric literal: FILE-RECORD-INFO-P1-120(1)"
509,"COBOL","ST146A","ST146A.cob",ef3d1d012357e0334f225ebaba5bbe16533d3f6f2885b50c4ab380ca670ec1d2,"pass","fail",1,"reject-parse","not-run",2,"","","","","",ORACLE_RUN_FAIL,"ORACLE_RUN_NONZERO_EXIT",no,"libcob: error: file does not exist (status = 35) for file SQ-FS1 ('FILE=SQ-FS1,RECORD=FS1R1 ' => FILE=SQ-FS1,RECORD=FS1R1 /0,RECNO=001000,UPDT=00,ODO=0009,PGM=ST216,LRECL=000140,BLKSIZ1R=0000,LFIL=004000,ORG=SQ,LBLR=S9 ACTIVE: 123456789)"
510,"COBOL","ST147A","ST147A.cob",63b14dcd2b48fa88d06a99dcab0709748770ff7ca7ac9bcdf8c4b7dd22ad041c,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_NOT_NUMERIC_LITERAL_FILE_RECORD_INFO",no,"cobrun: unsupported: not a numeric literal: FILE-RECORD-INFO-P1-120(1)"
511,"COBOL","ST301M","ST301M.cob",fbc1f5d6c139cd3eba96251a1c09b9f1f7c1b80af148204a4334915c1f0493b7,"pass","fail",1,"accepted","pass",0,"","","","","",ORACLE_RUN_FAIL,"ORACLE_RUN_NONZERO_EXIT",no,"libcob: error: permanent file error (status = 30) for file TFIL ('XXXXX027')"
