# release artifact index (reference_curated; archive names/urls are SourceForge conventions)
release_id	date	artifact_kind	archive_name	admitted
opencobol-1.0	2009	source-release	opencobol-1.0.tar.*	no
opencobol-1.1	2009	source-release	opencobol-1.1.tar.*	no
gnucobol-1.1	2014	source-release	gnucobol-1.1.tar.*	no
gnucobol-2.0-rc	2016	release-candidate	gnucobol-2.0-rc.tar.*	no
gnucobol-2.2	2017-09-06	source-release	gnucobol-2.2.tar.*	no
gnucobol-3.1	2020	source-release	gnucobol-3.1.tar.*	no
gnucobol-3.1.2	2020-12-23	source-release	gnucobol-3.1.2.tar.*	no
gnucobol-3.2	2023-07-28	source-release	gnucobol-3.2.tar.lz (admitted)	yes
gnucobol-4.x	development	development-line	gnucobol-4.x.tar.*	no
