test_id,number,title,group,pattern,failing_command,classification,reason
0674,674,run_misc.at:156: 674. DECIMAL-POINT is COMMA (5),run_misc.at:156,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0675,675,run_misc.at:190: 675. CURRENCY SIGN,run_misc.at:190,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0676,676,run_misc.at:221: 676. CURRENCY SIGN WITH PICTURE SYMBOL,run_misc.at:221,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0689,689,run_misc.at:746: 689. MOVE Z'literal',run_misc.at:746,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0690,690,run_misc.at:788: 690. Floating continuation indicator,run_misc.at:788,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0691,691,run_misc.at:810: 691. Fixed continuation indicator,run_misc.at:810,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0692,692,run_misc.at:852: 692. Concatenation operator,run_misc.at:852,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0693,693,run_misc.at:876: 693. SOURCE FIXED/FREE directives,run_misc.at:876,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0694,694,run_misc.at:912: 694. TURN directive,run_misc.at:912,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0695,695,run_misc.at:953: 695. OCCURS on level 01,run_misc.at:953,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0697,697,run_misc.at:1060: 697. Index and parenthesized expression,run_misc.at:1060,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0698,698,run_misc.at:1082: 698. Alphanumeric and binary numeric,run_misc.at:1082,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0699,699,run_misc.at:1106: 699. Non-numeric data in numeric items,run_misc.at:1106,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./unchecked_prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./unchecked_prog
0713,713,run_misc.at:1726: 713. TRANSFORM statement,run_misc.at:1726,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0714,714,run_misc.at:1759: 714. INSPECT CONVERTING alphabet,run_misc.at:1759,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0715,715,run_misc.at:1808: 715. INSPECT CONVERTING TO figurative constant,run_misc.at:1808,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0716,716,run_misc.at:1830: 716. INSPECT CONVERTING NULL,run_misc.at:1830,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0717,717,run_misc.at:1852: 717. INSPECT CONVERTING TO NULL,run_misc.at:1852,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0718,718,run_misc.at:1874: 718. INSPECT CONVERTING complex,run_misc.at:1874,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0719,719,run_misc.at:1903: 719. INSPECT numeric signed,run_misc.at:1903,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0722,722,run_misc.at:2110: 722. INSPECT TALLYING BEFORE and AFTER,run_misc.at:2110,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0723,723,run_misc.at:2146: 723. INSPECT TALLYING REPLACING BEFORE and AFTER,run_misc.at:2146,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0724,724,run_misc.at:2183: 724. INSPECT REPLACING figurative constant,run_misc.at:2183,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0728,728,run_misc.at:2337: 728. PERFORM VARYING Float,run_misc.at:2337,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0732,732,run_misc.at:2453: 732. EXIT PARAGRAPH,run_misc.at:2453,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0735,735,run_misc.at:2551: 735. PERFORM FOREVER / PERFORM UNTIL EXIT,run_misc.at:2551,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0741,741,run_misc.at:2712: 741. STRING WITH POINTER ON OVERFLOW with DELIMITER,run_misc.at:2712,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0744,744,run_misc.at:2944: 744. UNSTRING DELIMITED ALL SPACE-2,run_misc.at:2944,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0748,748,run_misc.at:3201: 748. UNSTRING with FUNCTION / literal,run_misc.at:3201,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0749,749,run_misc.at:3271: 749. SORT: table,run_misc.at:3271,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0750,750,run_misc.at:3305: 750. SORT: table (2),run_misc.at:3305,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0751,751,run_misc.at:3430: 751. SORT: table (3),run_misc.at:3430,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0752,752,run_misc.at:3522: 752. SORT: table (toplevel),run_misc.at:3522,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0753,753,run_misc.at:3544: 753. SORT: EBCDIC table,run_misc.at:3544,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0758,758,"run_misc.at:3967: 758. PIC ZZZ-, ZZZ+",run_misc.at:3967,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0763,763,run_misc.at:4182: 763. Lookup ENTRY from main executable,run_misc.at:4182,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0765,765,run_misc.at:4249: 765. ALLOCATE / FREE with BASED item (1),run_misc.at:4249,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0766,766,run_misc.at:4275: 766. ALLOCATE / FREE with BASED item (2),run_misc.at:4275,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0767,767,run_misc.at:4319: 767. ALLOCATE CHARACTERS INITIALIZED (TO),run_misc.at:4319,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0772,772,"run_misc.at:4641: 772. CALL in from C, cob_call_params explicitly set",run_misc.at:4641,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./caller,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./caller
0773,773,"run_misc.at:4700: 773. CALL in from C, cob_call_params unknown",run_misc.at:4700,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./caller,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./caller
0774,774,"run_misc.at:4753: 774. CALL C with callback, PROCEDURE DIVISION EXTERN",run_misc.at:4753,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0775,775,"run_misc.at:4823: 775. CALL C with callback, ENTRY-CONVENTION EXTERN",run_misc.at:4823,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0776,776,run_misc.at:4974: 776. CALL in from C with init missing / implicit,run_misc.at:4974,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./caller,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./caller
0777,777,run_misc.at:5022: 777. CALL STATIC C from COBOL,run_misc.at:5022,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./caller,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./caller
0780,780,run_misc.at:5157: 780. ANY LENGTH (3),run_misc.at:5157,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0781,781,run_misc.at:5200: 781. ANY LENGTH (4),run_misc.at:5200,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0783,783,run_misc.at:5268: 783. access to BASED item without allocation,run_misc.at:5268,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0786,786,run_misc.at:5363: 786. STOP RUN WITH ERROR STATUS,run_misc.at:5363,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0788,788,run_misc.at:5406: 788. SYMBOLIC clause,run_misc.at:5406,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0789,789,run_misc.at:5439: 789. OCCURS clause with 1 entry,run_misc.at:5439,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0790,790,run_misc.at:5480: 790. Computing of different USAGEs w/o decimal point,run_misc.at:5480,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0791,791,run_misc.at:6005: 791. Computing of different USAGEs w/- decimal point,run_misc.at:6005,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0795,795,run_misc.at:7063: 795. POINTER,run_misc.at:7063,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0797,797,run_misc.at:7169: 797. ON EXCEPTION clause of DISPLAY,run_misc.at:7169,COBCRUN_DIRECT ./prog (launcher run),COB_EXIT_WAIT=0 $COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: COB_EXIT_WAIT=0 $COBCRUN_DIRECT ./prog
0798,798,run_misc.at:7194: 798. EC-SCREEN-LINE-NUMBER and -STARTING-COLUMN,run_misc.at:7194,COBCRUN_DIRECT ./prog (launcher run),COB_EXIT_WAIT=0 $COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: COB_EXIT_WAIT=0 $COBCRUN_DIRECT ./prog
0800,800,run_misc.at:7273: 800. SET LAST EXCEPTION TO OFF,run_misc.at:7273,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0805,805,"run_misc.at:7574: 805. void PROCEDURE, NOTHING return",run_misc.at:7574,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0815,815,run_misc.at:11549: 815. Alphanumeric MOVE with truncation,run_misc.at:11549,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
