test_id,number,title,group,pattern,failing_command,classification,reason
0848,848,"run_file.at:23: 848. OPEN EXTEND and CLOSE, SEQUENTIAL",run_file.at:23,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0849,849,run_file.at:89: 849. variable-length SEQUENTIAL data integrity,run_file.at:89,COBCRUN_DIRECT ./prog (launcher run),DD_DATA=TEST1 $COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: DD_DATA=TEST1 $COBCRUN_DIRECT ./prog
0850,850,"run_file.at:154: 850. DELETE FILE, SEQUENTIAL",run_file.at:154,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0851,851,run_file.at:224: 851. OUTPUT on SEQUENTIAL file to missing directory,run_file.at:224,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0852,852,"run_file.at:261: 852. OPEN EXTEND and CLOSE, INDEXED",run_file.at:261,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0853,853,"run_file.at:333: 853. DELETE FILE, INDEXED",run_file.at:333,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0854,854,run_file.at:406: 854. OUTPUT on INDEXED file to missing directory,run_file.at:406,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0858,858,run_file.at:601: 858. REWRITE a RELATIVE file with RANDOM access,run_file.at:601,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0862,862,run_file.at:796: 862. ASSIGN filename expansion,run_file.at:796,other,"test -f ""./FILENAME"" && rm -f ""./FILENAME""",CANDIDATE_RUNTIME_FAIL,"candidate program run failed (test -f ""./FILENAME"" && rm -f ""./FILENAME"")"
0863,863,run_file.at:823: 863. ASSIGN filename mapping,run_file.at:823,other,"test -f ""FILENAME2""",CANDIDATE_UNSUPPORTED,"candidate failed at an unclassified boundary: test -f ""FILENAME2"""
0864,864,run_file.at:999: 864. ASSIGN with COB_FILE_PATH,run_file.at:999,other,"test -f ""tstdir/FILENAMEX"" && rm -f ""tstdir/FILENAMEX""",CANDIDATE_UNSUPPORTED,"candidate failed at an unclassified boundary: test -f ""tstdir/FILENAMEX"" && rm -f ""tstdir/FILENAMEX"""
0865,865,run_file.at:1036: 865. ASSIGN DYNAMIC with LOCAL-STORAGE item,run_file.at:1036,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0866,866,"run_file.at:1073: 866. ASSIGN DYNAMIC with LOCAL-STORAGE item, INITIAL",run_file.at:1073,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0867,867,run_file.at:1113: 867. ASSIGN DYNAMIC with BASED data item,run_file.at:1113,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog X,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog X
0868,868,run_file.at:1199: 868. ASSIGN DYNAMIC with data item in LINKAGE,run_file.at:1199,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0869,869,run_file.at:1371: 869. ASSIGN DYNAMIC with empty data item,run_file.at:1371,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0870,870,run_file.at:1411: 870. ASSIGN DYNAMIC with unset implicit data item,run_file.at:1411,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0871,871,run_file.at:1443: 871. INDEXED file key-name,run_file.at:1443,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0872,872,run_file.at:1485: 872. INDEXED file sparse/split keys,run_file.at:1485,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0873,873,run_file.at:2005: 873. INDEXED file split keys WITH DUPLICATES,run_file.at:2005,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0874,874,run_file.at:2171: 874. INDEXED file variable length record,run_file.at:2171,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0875,875,run_file.at:2447: 875. INDEXED sample,run_file.at:2447,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0876,876,run_file.at:2948: 876. WRITE + REWRITE FILE name,run_file.at:2948,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0877,877,run_file.at:3109: 877. START RELATIVE (1),run_file.at:3109,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0878,878,run_file.at:3158: 878. START RELATIVE (2),run_file.at:3158,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0879,879,run_file.at:3234: 879. START RELATIVE (3),run_file.at:3234,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0880,880,run_file.at:3310: 880. READ on OPTIONAL missing RELATIVE / SEQUENTIAL,run_file.at:3310,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0881,881,run_file.at:3432: 881. READ on OPTIONAL missing INDEXED file,run_file.at:3432,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0883,883,run_file.at:3546: 883. DECLARATIVES procedure referencing,run_file.at:3546,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0885,885,run_file.at:3630: 885. System routines for directories (1),run_file.at:3630,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0886,886,run_file.at:3672: 886. System routines for directories (2),run_file.at:3672,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0887,887,run_file.at:3769: 887. System routines for files,run_file.at:3769,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0888,888,run_file.at:3966: 888. System routines for files - filename mapping,run_file.at:3966,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog notthere,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog notthere
0889,889,run_file.at:4083: 889. System routine CBL_COPY_FILE,run_file.at:4083,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog2,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog2
0891,891,run_file.at:4192: 891. SEQUENTIAL basic I/O,run_file.at:4192,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0892,892,run_file.at:4241: 892. LINE SEQUENTIAL basic I/O,run_file.at:4241,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0893,893,run_file.at:4307: 893. LINE SEQUENTIAL WRITE AFTER,run_file.at:4307,other,cat TEST-FILE,CANDIDATE_UNSUPPORTED,candidate failed at an unclassified boundary: cat TEST-FILE
0894,894,run_file.at:4353: 894. LINE SEQUENTIAL record truncation (1),run_file.at:4353,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0895,895,run_file.at:4457: 895. LINE SEQUENTIAL record truncation (2),run_file.at:4457,other,,CANDIDATE_UNSUPPORTED,candidate failed at an unclassified boundary: 
0896,896,run_file.at:4593: 896. LINE SEQUENTIAL standard record overflow,run_file.at:4593,other,,CANDIDATE_UNSUPPORTED,candidate failed at an unclassified boundary: 
0897,897,run_file.at:4729: 897. LINAGE and LINAGE-COUNTER sample,run_file.at:4729,COBCRUN_DIRECT ./prog (launcher run),"COB_CURRENT_DATE=""2015/02/06 16:40:52"" $COBCRUN_DIRECT ./prog",CANDIDATE_MODULE_MODEL_UNSUPPORTED,"module build/run not supported by the candidate model: COB_CURRENT_DATE=""2015/02/06 16:40:52"" $COBCRUN_DIRECT ./prog"
0899,899,run_file.at:5306: 899. SEQUENTIAL file I/O with variable records,run_file.at:5306,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0900,900,run_file.at:5381: 900. LINE SEQUENTIAL file I/O with variable records,run_file.at:5381,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0901,901,run_file.at:5455: 901. SEQUENTIAL file REWRITE,run_file.at:5455,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0902,902,run_file.at:5567: 902. SEQUENTIAL file with LOCK MODE EXCLUSIVE,run_file.at:5567,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog1,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0903,903,run_file.at:5637: 903. SEQUENTIAL file with OPEN WITH LOCK,run_file.at:5637,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog1,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0904,904,run_file.at:5705: 904. SEQUENTIAL file with SHARING NO,run_file.at:5705,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog1,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0905,905,run_file.at:5775: 905. SEQUENTIAL file with SHARING READ ONLY,run_file.at:5775,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog1,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog1
0906,906,run_file.at:5850: 906. SEQUENTIAL file with blocked lock,run_file.at:5850,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog1,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0907,907,run_file.at:5923: 907. RELATIVE SEQUENTIAL basic I/O,run_file.at:5923,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0908,908,run_file.at:5957: 908. RELATIVE RANDOM basic I/O,run_file.at:5957,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0909,909,run_file.at:6007: 909. RELATIVE SEQUENTIAL with variable records,run_file.at:6007,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0910,910,run_file.at:6081: 910. INDEXED SEQUENTIAL basic I/O,run_file.at:6081,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0911,911,run_file.at:6119: 911. INDEXED SEQUENTIAL with variable records,run_file.at:6119,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0912,912,run_file.at:6201: 912. INDEXED file with LOCK MODE EXCLUSIVE,run_file.at:6201,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog1,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0913,913,run_file.at:6280: 913. INDEXED file with OPEN WITH LOCK,run_file.at:6280,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog1,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0914,914,run_file.at:6358: 914. INDEXED file with SHARING NO,run_file.at:6358,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog1,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0915,915,run_file.at:6437: 915. INDEXED file with SHARING READ ONLY,run_file.at:6437,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog1,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0916,916,run_file.at:6523: 916. INDEXED file with blocked lock,run_file.at:6523,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog1,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0917,917,run_file.at:6605: 917. INDEXED file with LOCK AUTOMATIC (1),run_file.at:6605,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog1,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0918,918,run_file.at:6696: 918. INDEXED file with LOCK AUTOMATIC (2),run_file.at:6696,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog1,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog1
0919,919,run_file.at:6788: 919. INDEXED file with LOCK MANUAL,run_file.at:6788,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog1,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0920,920,run_file.at:6878: 920. START INDEXED,run_file.at:6878,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0921,921,run_file.at:6957: 921. INDEXED partial keys,run_file.at:6957,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0923,923,run_file.at:7275: 923. READ INPUT pipe & WRITE OUTPUT pipe,run_file.at:7275,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0936,936,run_file.at:11235: 936. RELATIVE Multi-Record,run_file.at:11235,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0937,937,run_file.at:11485: 937. INDEXED File READ/DELETE/READ,run_file.at:11485,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog 1>prog.out,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog 1>prog.out
0938,938,run_file.at:12291: 938. TURN EC-I-O,run_file.at:12291,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,ORACLE_XFAIL,both sides expected-failure (suite-marked)
0939,939,run_file.at:12388: 939. LINE SEQUENTIAL REWRITE,run_file.at:12388,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0940,940,run_file.at:12660: 940. LINE SEQUENTIAL data,run_file.at:12660,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0941,941,run_file.at:12817: 941. Concatenated Files,run_file.at:12817,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0943,943,"run_file.at:13011: 943. File SORT, SEQUENTIAL variable records",run_file.at:13011,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0944,944,"run_file.at:13097: 944. File SORT, LINE SEQUENTIAL",run_file.at:13097,other,cat result.txt,CANDIDATE_UNSUPPORTED,candidate failed at an unclassified boundary: cat result.txt
0945,945,"run_file.at:13156: 945. File SORT, LINE SEQUENTIAL same file",run_file.at:13156,other,cat test.txt,CANDIDATE_UNSUPPORTED,candidate failed at an unclassified boundary: cat test.txt
0946,946,"run_file.at:13203: 946. File SORT, LINE SEQUENTIAL variable records",run_file.at:13203,other,cat file2,CANDIDATE_UNSUPPORTED,candidate failed at an unclassified boundary: cat file2
0948,948,"run_file.at:13334: 948. File MERGE, LINE SEQUENTIAL variable records",run_file.at:13334,other,cat file3,CANDIDATE_UNSUPPORTED,candidate failed at an unclassified boundary: cat file3
0950,950,run_file.at:13460: 950. SORT with INPUT/OUTPUT PROCEDUREs,run_file.at:13460,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0951,951,"run_file.at:13550: 951. SORT with key1 ASCENDING, key2 DESCENDING",run_file.at:13550,other,cat file2,CANDIDATE_UNSUPPORTED,candidate failed at an unclassified boundary: cat file2
0952,952,run_file.at:13617: 952. Scope of FD GLOBAL in nested programs,run_file.at:13617,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0953,953,run_file.at:13774: 953. OPEN / CLOSE with multiple filenames,run_file.at:13774,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog1 > prog1.txt,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog1 > prog1.txt
0954,954,run_reportwriter.at:23: 954. Report Line Order,run_reportwriter.at:23,COBCRUN_DIRECT ./prog (launcher run),"DD_PRINTOUT=""./report.txt"" $COBCRUN_DIRECT ./prog",CANDIDATE_MODULE_MODEL_UNSUPPORTED,"module build/run not supported by the candidate model: DD_PRINTOUT=""./report.txt"" $COBCRUN_DIRECT ./prog"
0955,955,run_reportwriter.at:120: 955. REPORT COL PLUS,run_reportwriter.at:120,other,diff reference report.txt,CANDIDATE_UNSUPPORTED,candidate failed at an unclassified boundary: diff reference report.txt
0956,956,run_reportwriter.at:189: 956. Report Overlapping Fields,run_reportwriter.at:189,other,diff reference report.txt,CANDIDATE_UNSUPPORTED,candidate failed at an unclassified boundary: diff reference report.txt
0957,957,run_reportwriter.at:258: 957. EMPTY REPORT,run_reportwriter.at:258,COBCRUN_DIRECT ./prog (launcher run),"DD_PRINTOUT=""./report.txt"" $COBCRUN_DIRECT ./prog",CANDIDATE_MODULE_MODEL_UNSUPPORTED,"module build/run not supported by the candidate model: DD_PRINTOUT=""./report.txt"" $COBCRUN_DIRECT ./prog"
0958,958,run_reportwriter.at:327: 958. PAGE LIMIT REPORT,run_reportwriter.at:327,COBCRUN_DIRECT ./prog (launcher run),DD_PRINTOUT=./report.txt $COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: DD_PRINTOUT=./report.txt $COBCRUN_DIRECT ./prog
0959,959,run_reportwriter.at:388: 959. PAGE LIMIT REPORT 2,run_reportwriter.at:388,other,diff reference report.txt,CANDIDATE_UNSUPPORTED,candidate failed at an unclassified boundary: diff reference report.txt
0960,960,run_reportwriter.at:460: 960. Sample Customer Report,run_reportwriter.at:460,COBCRUN_DIRECT ./prog (launcher run),"DD_DATAIN=""./inp_data"" DD_SYSPRINT=""./report.txt"" $COBCRUN_DIRECT ./prog",CANDIDATE_MODULE_MODEL_UNSUPPORTED,"module build/run not supported by the candidate model: DD_DATAIN=""./inp_data"" DD_SYSPRINT=""./report.txt"" $COBCRUN_DIRECT ./prog"
0961,961,run_reportwriter.at:775: 961. Sample Charge Report,run_reportwriter.at:775,COBCRUN_DIRECT ./prog (launcher run),"DD_DATAIN=""./inp_data"" DD_SYSPRINT=""./report.txt"" $COBCRUN_DIRECT ./prog",CANDIDATE_MODULE_MODEL_UNSUPPORTED,"module build/run not supported by the candidate model: DD_DATAIN=""./inp_data"" DD_SYSPRINT=""./report.txt"" $COBCRUN_DIRECT ./prog"
0962,962,run_reportwriter.at:1128: 962. Sample Charge Report 2,run_reportwriter.at:1128,COBCRUN_DIRECT ./prog (launcher run),"DD_DATAIN=""./inp_data"" DD_SYSPRINT=""./report.txt"" $COBCRUN_DIRECT ./prog",CANDIDATE_MODULE_MODEL_UNSUPPORTED,"module build/run not supported by the candidate model: DD_DATAIN=""./inp_data"" DD_SYSPRINT=""./report.txt"" $COBCRUN_DIRECT ./prog"
0963,963,run_reportwriter.at:1498: 963. Sample Charge Report 3,run_reportwriter.at:1498,COBCRUN_DIRECT ./prog (launcher run),"DD_DATAIN=""./inp_data"" DD_SYSPRINT=""./report.txt"" $COBCRUN_DIRECT ./prog",CANDIDATE_MODULE_MODEL_UNSUPPORTED,"module build/run not supported by the candidate model: DD_DATAIN=""./inp_data"" DD_SYSPRINT=""./report.txt"" $COBCRUN_DIRECT ./prog"
0964,964,run_reportwriter.at:1798: 964. Sample Charge Report 4,run_reportwriter.at:1798,COBCRUN_DIRECT ./prog (launcher run),"DD_DATAIN=""./inp_data"" DD_SYSPRINT=""./report.txt"" $COBCRUN_DIRECT ./prog",CANDIDATE_MODULE_MODEL_UNSUPPORTED,"module build/run not supported by the candidate model: DD_DATAIN=""./inp_data"" DD_SYSPRINT=""./report.txt"" $COBCRUN_DIRECT ./prog"
0965,965,run_reportwriter.at:2214: 965. Sample Payroll Report,run_reportwriter.at:2214,COBCRUN_DIRECT ./prog (launcher run),"DD_DATAIN=""./inp_data"" DD_SYSPRINT=""./report.txt"" $COBCRUN_DIRECT ./prog",CANDIDATE_MODULE_MODEL_UNSUPPORTED,"module build/run not supported by the candidate model: DD_DATAIN=""./inp_data"" DD_SYSPRINT=""./report.txt"" $COBCRUN_DIRECT ./prog"
0967,967,run_reportwriter.at:3063: 967. STUDENT REPORT with INITIAL,run_reportwriter.at:3063,COBCRUN_DIRECT ./prog (launcher run),"DD_STUDENT=""./inp_data"" DD_REPORT1=""./report.txt"" $COBCRUN_DIRECT ./prog",CANDIDATE_MODULE_MODEL_UNSUPPORTED,"module build/run not supported by the candidate model: DD_STUDENT=""./inp_data"" DD_REPORT1=""./report.txt"" $COBCRUN_DIRECT ./prog"
0968,968,run_reportwriter.at:3215: 968. ORDER REPORT; Test substring,run_reportwriter.at:3215,COBCRUN_DIRECT ./prog (launcher run),"DD_CUSTORD=""./inp_data"" DD_REPORT2=""./report.txt"" $COBCRUN_DIRECT ./prog",CANDIDATE_MODULE_MODEL_UNSUPPORTED,"module build/run not supported by the candidate model: DD_CUSTORD=""./inp_data"" DD_REPORT2=""./report.txt"" $COBCRUN_DIRECT ./prog"
0969,969,run_reportwriter.at:3563: 969. Sample Control Break,run_reportwriter.at:3563,COBCRUN_DIRECT ./prog (launcher run),"DD_STUDREC=""./inp_data"" DD_REPORT3=""./report.txt"" $COBCRUN_DIRECT ./prog",CANDIDATE_MODULE_MODEL_UNSUPPORTED,"module build/run not supported by the candidate model: DD_STUDREC=""./inp_data"" DD_REPORT3=""./report.txt"" $COBCRUN_DIRECT ./prog"
0971,971,run_reportwriter.at:3985: 971. Duplicate Detail Line,run_reportwriter.at:3985,other,diff reference report.txt,CANDIDATE_UNSUPPORTED,candidate failed at an unclassified boundary: diff reference report.txt
0972,972,run_reportwriter.at:4113: 972. Report with OCCURS,run_reportwriter.at:4113,COBCRUN_DIRECT ./prog (launcher run),DD_PRINTOUT=./report.txt $COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: DD_PRINTOUT=./report.txt $COBCRUN_DIRECT ./prog
