diagnostic,phase,count,example_test_id
"cobrun: unsupported: CALL ""C$PARAMSIZE"": not a contained program (external CALL is a boundary)",checker,2,0709
"cobrun: unsupported: CALL ""C$PRINTABLE"": not a contained program (external CALL is a boundary)",checker,1,1167
"cobrun: unsupported: CALL ""C$TOLOWER"": not a contained program (external CALL is a boundary)",checker,1,1171
"cobrun: unsupported: CALL ""C$TOUPPER"": not a contained program (external CALL is a boundary)",checker,1,1170
"cobrun: unsupported: CALL ""CBL_AND"": not a contained program (external CALL is a boundary)",checker,1,1174
"cobrun: unsupported: CALL ""CBL_COPY_FILE"": not a contained program (external CALL is a boundary)",checker,1,0889
"cobrun: unsupported: CALL ""CBL_CREATE_DIR"": not a contained program (external CALL is a boundary)",checker,2,0885
"cobrun: unsupported: CALL ""CBL_CREATE_FILE"": not a contained program (external CALL is a boundary)",checker,1,0887
"cobrun: unsupported: CALL ""CBL_EQ"": not a contained program (external CALL is a boundary)",checker,1,1179
"cobrun: unsupported: CALL ""CBL_IMP"": not a contained program (external CALL is a boundary)",checker,1,1176
"cobrun: unsupported: CALL ""CBL_NIMP"": not a contained program (external CALL is a boundary)",checker,1,1177
"cobrun: unsupported: CALL ""CBL_NOT"": not a contained program (external CALL is a boundary)",checker,1,1178
"cobrun: unsupported: CALL ""D"": not a contained program (external CALL is a boundary)",checker,1,0810
"cobrun: unsupported: CALL ""PROG-PTR"": not a contained program (external CALL is a boundary)",checker,1,0543
"cobrun: unsupported: CALL ""STATIC"": not a contained program (external CALL is a boundary)",checker,1,0777
"cobrun: unsupported: CALL ""SYSTEM"": not a contained program (external CALL is a boundary)",checker,2,0905
"cobrun: unsupported: CALL ""_SUB-PROG_NOW"": not a contained program (external CALL is a boundary)",checker,1,0817
"cobrun: unsupported: CALL ""callee"": fewer USING args than the 2 parameters",checker,1,0784
"cobrun: unsupported: CALL ""callee"": fewer USING args than the 3 parameters",checker,1,0769
"cobrun: unsupported: CALL ""callee1"": not a contained program (external CALL is a boundary)",checker,1,0702
"cobrun: unsupported: CALL ""callee2"": not a contained program (external CALL is a boundary)",checker,1,0761
"cobrun: unsupported: CALL ""dump"": not a contained program (external CALL is a boundary)",checker,6,0513
"cobrun: unsupported: CALL ""ent1"": not a contained program (external CALL is a boundary)",checker,1,0762
"cobrun: unsupported: CALL ""module"": not a contained program (external CALL is a boundary)",checker,1,0537
"cobrun: unsupported: CALL ""modulepart"": not a contained program (external CALL is a boundary)",checker,1,0536
"cobrun: unsupported: CALL ""prog"": not a contained program (external CALL is a boundary)",checker,1,1143
"cobrun: unsupported: CALL ""setfilename"": not a contained program (external CALL is a boundary)",checker,1,1135
cobrun: unsupported: COMPUTE without '=',checker,1,0674
cobrun: unsupported: DELETE: `FILE` is not a declared file,semantic-check,8,0874
cobrun: unsupported: FUNCTION DATE-TO-YYYYMMDD requires a pinned COB_CURRENT_DATE,checker,1,1004
cobrun: unsupported: FUNCTION DAY-TO-YYYYDDD requires a pinned COB_CURRENT_DATE,checker,1,1006
cobrun: unsupported: FUNCTION FUNC: cobc 3.2 does not implement it (a compile-reject) or it is a live-clock/locale/GMP-PRNG non-claim,checker,1,1108
cobrun: unsupported: FUNCTION LOCALE-TIME-FROM-SECONDS: cobc 3.2 does not implement it (a compile-reject) or it is a live-clock/locale/GMP-PRNG non-claim,checker,1,1034
